BV1q7x6zWEG7,115342286328058,32934265171,2068468653,清风说测试开发,49年入国军?1个软件测试老兵对2025年转行者的真心话,,2025-10-09,12:24:41,2025还值得加入软件测试赛道吗,5345,127,20,140,11,56,28
BV1Ca41177oT,214209062,724246012,396737373,希希说测试,软件测试的工作流程是什么样的？,,2022-05-19,19:32:01,面试必备题之软件测试的测试流程是什么样的？,36900,747,156,920,244,17,4
BV1zBDAYgEoy,113412806021410,25686777247,448160599,小北眼中的软件测试,二本应届生西安7k软件测试面试全过程分析,,2024-11-02,18:14:35,"视频中的简历原件和简历模板 面试题、软件测试资料 领取
一份好的简历需要时间的打磨 不断的优化和修改 用心写好每一份简历！
客官不要着急走，觉得我分析的不错的话，跪求个三连，非常感谢！！
😎😎😎😎😎😎😎😎😎",45557,775,300,1187,110,373,106
BV1MYmgBtEGr,115699976573603,34643249684,1151729660,字节测试开发工程师,【2026最新】逼自己7天学会软件测试入门教程，学完即入职，0基础入门到精通，理论到项目实战，永久白嫖！,,2025-12-11,16:38:45,"【软件测试视频配套籽料、学习包、电子书+问题解答请看 ”評伦” 自取哦】
本套视频从零开始讲解，如果视频对你有用的话请一键三连【长按点赞】支持一下up哦
拜托啦，这对我真的很重要！",5598,652,309,854,588,110,395
BV1R1e4zKEh1,115071804051527,31870356198,2019316367,般若0999,【4KHDR 真彩®】《最佳 4K HDR》—— ULTRA HD 60帧 杜比视界测试片源,,2025-08-22,18:47:12,,495930,2951,1521,2512,940,156,430
BV1N5411p7ky,458364578,269961043,37974444,黑马程序员,黑马程序员软件测试实战项目黑马头条完整版,,2020-12-24,08:30:01,"想了解更多软件测试教程和学习方法及学习大纲点击进入：http://test.itheima.com/?testzlybxhw
1）黑马头条项目介绍
项目简介、项目架构、测试功能模块
2）Ui自动化测试
Selenium Grid、搭建自动化测试框架、编写自动化测试脚本
3）接口测试
接口测试流程、基于工具的接口测试、基于代码的接口测试
4）性能测试
Locust框架、App性能测试",98336,848,453,4161,724,175,55
BV1Jo4y1w73F,400576145,1113239040,44497027,赏味不足,软件测试，国内最下下策的岗位,,2023-04-29,21:52:16,"大家节日快乐~~~
对，软件测试这事儿就最后一次讲了，以后不说了，别叫我说了，盖棺定论了。

另外，我忘记说了，补充下，国内外差别很大，国外还是可以做做的。国内的话，只要不到吃不上饭的情况，能不做就不做，当下和今后没有任何意义。

xmind：链接: https://pan.baidu.com/s/1QPictDtfh_0_kx5Ivu_2FQ 提取码: etp2
btw，有任何创业、副业、职业规划或者其他相关的细节问题都可以私信付费咨询，b站统一价格500/hour。总结好自己的问题list给我，咱们加个微信，约个腾讯会议走起~",115207,1034,267,926,593,1354,46
BV1G2B9BNEtD,115780876245004,34978791567,288658058,厨神Potato-Ni,【测试教学】英雄巨人用来防守，算是一张神卡了！！！,,2025-12-26,14:00:00,"嘿！朋友！感谢你今天又点开厨子的视频！
大家看视频的时候可以多发一点弹幕，这样视频会变得更好看！
有兴趣，欢迎加入厨子的游戏部落：国服：#LCPPJRQU
                                                          国际服：#G99VGU0L
欢迎大家加入！！！
欢迎大家评论区讨论，不方便的话可以私信，厨子看到都会回复
BGM：At the edge",5511,187,34,21,14,47,143
BV19s1FBNEFr,115480312421787,33630454224,540564177,Jason-老湿,你到底是不是男高音？你真的了解自己唱歌的音域吗？一条视频带你测试！,,2025-11-02,21:27:43,"╔═══════════════════════════╗
╠想系统学习唱歌的同学，请看评论区置顶哦 ╣
╚═══════════════════════════╝",396859,22329,9614,20441,1896,1703,4939
BV14qjzzEEta,114585835147118,30199647435,454722449,苏晓宇Douglas,【全网最强：软件测试】软测大题讲解,,2025-05-28,22:15:18,参照市面上所有软测资料完成视频的录制，如有侵权请和我联系,9593,105,28,257,56,6,15
